id,word,parents
.1.00,病原学特点,['none']
.0.0,新型,"['.1.00', '.2.00', '.2.04', '.4.00', '.3.01', '.3.01', '.4.02', '.3.04', '.3.04', '.2.12', '.2.12', '.2.12', '.1.08', '.1.09', '.1.09']"
.0.1,冠状病毒,"['.1.00', '.1.00', '.1.00', '.1.00', '.2.00', '.2.04', '.3.01', '.3.01', '.3.04', '.3.04', '.1.05', '.2.12', '.2.12', '.2.16', '.1.08', '.1.09', '.1.09']"
.0.2,包膜,['.1.00']
.0.3,颗粒,"['.1.00', '.3.05', '.3.05', '.3.05', '.3.05']"
.0.4,呈圆形,['.1.00']
.0.5,椭圆形,['.1.00']
.0.6,常为,['.1.00']
.0.7,多形性,['.1.00']
.0.8,直径,['.1.00']
.0.9,140nm,['.1.00']
.0.10,基因,['.1.00']
.0.11,特征,"['.1.00', '.4.01', '.3.03']"
.0.12,SARSr,['.1.00']
.0.13,CoV,"['.1.00', '.1.00', '.1.00', '.1.00']"
.0.14,MERSr,['.1.00']
.0.15,区别,['.1.00']
.0.16,研究,"['.1.00', '.1.00']"
.0.17,显示,"['.1.00', '.3.07']"
.0.18,蝙蝠,['.1.00']
.0.19,SARS,"['.1.00', '.1.00', '.1.05']"
.0.20,bat,['.1.00']
.0.21,SL,['.1.00']
.0.22,CoVZC45,['.1.00']
.0.23,同源性,['.1.00']
.0.24,85%,['.1.00']
.0.25,体外,"['.1.00', '.2.16', '.2.16']"
.0.26,分离,"['.1.00', '.1.00']"
.0.27,培养,"['.1.00', '.1.00']"
.0.28,2019,['.1.00']
.0.29,nCoV,['.1.00']
.0.30,小时,"['.1.00', '.2.12', '.2.16', '.2.16']"
.0.31,即可,['.1.00']
.0.32,呼吸道,"['.1.00', '.2.01', '.2.04', '.4.00', '.4.01', '.3.01', '.4.02', '.3.04', '.3.04', '.2.09', '.1.05', '.2.12', '.2.12', '.3.07']"
.0.33,上皮细胞,['.1.00']
.0.34,发现,"['.1.00', '.2.12', '.2.13']"
.0.35,Vero,['.1.00']
.0.36,E6,['.1.00']
.0.37,Huh,['.1.00']
.0.38,细胞系,['.1.00']
.0.39,理化,['.1.00']
.0.40,特性,['.1.00']
.0.41,MEBRSr,['.1.00']
.0.42,病毒,"['.1.00', '.1.00', '.1.00', '.1.05', '.1.05', '.1.05']"
.0.43,紫外线,['.1.00']
.0.44,敏感,['.1.00']
.0.45,56C,['.1.00']
.0.46,分钟,['.1.00']
.0.47,乙醚,['.1.00']
.0.48,75%,['.1.00']
.0.49,乙醇,['.1.00']
.0.50,含氯,['.1.00']
.0.51,消毒剂,['.1.00']
.0.52,过氧乙酸,['.1.00']
.0.53,氯仿,['.1.00']
.0.54,脂溶剂,['.1.00']
.0.55,灭活,"['.1.00', '.1.00']"
.0.56,已定,['.1.00']
.1.01,流行病学特点,['none']
.2.00,传染源,['.1.01']
.0.57,传染源,"['.2.00', '.2.00']"
.0.58,感染,"['.2.00', '.2.16', '.2.16', '.1.08', '.1.09', '.1.09']"
.0.59,患者,"['.2.00', '.2.03', '.2.03', '.2.03', '.2.03', '.2.03', '.2.03', '.2.04', '.2.04', '.4.00', '.4.02', '.2.12', '.2.16', '.2.16', '.2.16', '.2.16', '.2.16', '.2.16', '.2.16']"
.0.60,无症状,['.2.00']
.0.61,感染者,['.2.00']
.2.01,传播途径。,['.1.01']
.0.62,飞沫,['.2.01']
.0.63,接触,"['.2.01', '.4.00', '.4.00', '.4.02', '.4.02']"
.0.64,传播,"['.2.01', '.2.01', '.2.01']"
.0.65,途径,"['.2.01', '.2.01']"
.0.66,气溶胶,['.2.01']
.0.67,消化道,['.2.01']
.0.68,尚待,['.2.01']
.2.02,易感人群。,['.1.01']
.0.69,人群,['.2.02']
.0.70,易感,['.2.02']
.1.02,临床特点,['none']
.2.03,临床表现。,['.1.02']
.0.71,流行病学,"['.2.03', '.3.00', '.4.01', '.4.01', '.3.02', '.4.03', '.4.03']"
.0.72,调查,['.2.03']
.0.73,潜伏期,['.2.03']
.0.74,多为,['.2.03']
.0.75,发热,"['.2.03', '.2.03', '.4.00', '.4.01', '.4.02', '.4.03', '.2.09', '.3.05', '.4.04']"
.0.76,乏力,"['.2.03', '.2.03', '.3.05', '.3.05', '.4.04', '.4.07']"
.0.77,干咳,['.2.03']
.0.78,表现,"['.2.03', '.2.03', '.2.03', '.2.08', '.2.09']"
.0.79,伴有,['.2.03']
.0.80,鼻塞,['.2.03']
.0.81,流涕,['.2.03']
.0.82,咽痛,['.2.03']
.0.83,腹泻,"['.2.03', '.2.15']"
.0.84,症状,"['.2.03', '.2.03', '.4.00', '.4.01', '.4.02', '.4.03', '.2.08', '.2.09', '.3.07']"
.0.85,重症,['.2.03']
.0.86,发病,"['.2.03', '.2.04', '.4.00', '.4.00', '.4.00', '.4.00', '.4.01', '.4.02', '.4.02', '.4.02', '.4.02', '.4.03']"
.0.87,一周,['.2.03']
.0.88,呼吸困难,"['.2.03', '.2.16', '.4.06']"
.0.89,低氧,"['.2.03', '.2.16', '.2.16']"
.0.90,血症,"['.2.03', '.2.16', '.2.16']"
.0.91,严重者,"['.2.03', '.2.04', '.2.05']"
.0.92,快速,['.2.03']
.0.93,进展,"['.2.03', '.2.16']"
.0.94,急性,['.2.03']
.0.95,呼吸,"['.2.03', '.3.01', '.4.03', '.2.10', '.2.16', '.2.16', '.2.16', '.3.07']"
.0.96,窘迫,"['.2.03', '.2.10', '.2.16', '.2.16']"
.0.97,综合征,['.2.03']
.0.98,脓毒症,['.2.03']
.0.99,休克,"['.2.03', '.2.11']"
.0.100,难以,['.2.03']
.0.101,纠正,['.2.03']
.0.102,代谢性,['.2.03']
.0.103,酸中毒,['.2.03']
.0.104,凝血,"['.2.03', '.2.15']"
.0.105,功能障碍,['.2.03']
.0.106,值得注意,['.2.03']
.0.107,重型,"['.2.03', '.2.16']"
.0.108,危重,"['.2.03', '.2.03', '.2.04', '.2.14', '.2.16']"
.0.109,病程,['.2.03']
.0.110,中可为,['.2.03']
.0.111,低热,"['.2.03', '.2.03']"
.0.112,轻型,['.2.03']
.0.113,轻微,"['.2.03', '.2.08']"
.0.114,肺炎,"['.2.03', '.4.01', '.3.03', '.2.08', '.2.09', '.1.05', '.1.05', '.1.05', '.1.05', '.1.08', '.1.09']"
.0.115,收治,"['.2.03', '.2.14']"
.0.116,病例,"['.2.03', '.2.03', '.4.00', '.4.00', '.4.02', '.4.02', '.3.04', '.2.12', '.2.13', '.2.13', '.2.13', '.2.13', '.2.14', '.2.14', '.2.14', '.1.08']"
.0.117,情况,"['.2.03', '.2.11', '.2.16', '.2.16', '.2.17']"
.0.118,预后,"['.2.03', '.2.03']"
.0.119,病情,"['.2.03', '.2.15', '.2.16', '.2.17', '.3.07']"
.0.120,老年人,['.2.03']
.0.121,慢性,['.2.03']
.0.122,基础,"['.2.03', '.2.16', '.2.16', '.2.16']"
.0.123,疾病,"['.2.03', '.1.05', '.2.16', '.3.07']"
.0.124,较差,['.2.03']
.0.125,儿童,['.2.03']
.2.04,实验室检查。,['.1.02']
.0.126,早期,"['.2.04', '.2.05', '.4.01', '.4.03']"
.0.127,外周血,"['.2.04', '.2.04']"
.0.128,白细胞,"['.2.04', '.4.01', '.4.03']"
.0.129,总数,"['.2.04', '.4.01', '.4.03']"
.0.130,减少,"['.2.04', '.2.04', '.2.04', '.4.01', '.4.03', '.4.03', '.2.16']"
.0.131,淋巴细胞,"['.2.04', '.2.04', '.4.01', '.4.03']"
.0.132,计数,"['.2.04', '.4.01', '.4.03']"
.0.133,肝酶,"['.2.04', '.2.15']"
.0.134,乳酸,['.2.04']
.0.135,脱氢酶,['.2.04']
.0.136,LDH,['.2.04']
.0.137,肌酶,['.2.04']
.0.138,肌红蛋白,['.2.04']
.0.139,增高,"['.2.04', '.2.04']"
.0.140,肌钙蛋白,['.2.04']
.0.141,蛋白,['.2.04']
.0.142,CRP,"['.2.04', '.2.15']"
.0.143,血沉,['.2.04']
.0.144,升高,"['.2.04', '.2.04']"
.0.145,降钙素,['.2.04']
.0.146,二聚体,['.2.04']
.0.147,进行性,['.2.04']
.0.148,鼻咽,['.2.04']
.0.149,拭子,['.2.04']
.0.150,分泌物,['.2.04']
.0.151,血液,"['.2.04', '.3.01', '.3.01', '.3.04', '.3.04', '.2.16']"
.0.152,粪便,['.2.04']
.0.153,标本,"['.2.04', '.3.01', '.3.01', '.3.01', '.3.01', '.3.04', '.3.04', '.3.04', '.3.04', '.2.12', '.2.13']"
.0.154,检测,"['.2.04', '.4.00', '.3.01', '.4.02', '.3.04', '.2.12', '.2.12', '.2.12', '.2.12', '.2.13', '.2.15', '.3.07']"
.0.155,核酸,"['.2.04', '.4.00', '.3.01', '.4.02', '.3.04', '.2.12', '.2.12', '.3.07']"
.2.05,胸部影像学。,['.1.02']
.0.156,呈现,['.2.05']
.0.157,多发,"['.2.05', '.2.05']"
.0.158,小斑片,['.2.05']
