id,word,parents
.1.00,冠状病毒病原学特点,['none']
.0.0,冠状病毒,"['.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.2.04', '.2.04', '.1.03', '.1.04']"
.0.1,分节,['.1.00']
.0.2,单股,['.1.00']
.0.3,正链,['.1.00']
.0.4,RNA,['.1.00']
.0.5,病毒,"['.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.00', '.1.03', '.1.03', '.1.03']"
.0.6,Nidovirales,['.1.00']
.0.7,Coronaviridae,['.1.00']
.0.8,亚科,"['.1.00', '.1.00']"
.0.9,0rthocoronavirinae,['.1.00']
.0.10,血清型,['.1.00']
.0.11,基因组,"['.1.00', '.1.00']"
.0.12,特点,['.1.00']
.0.13,分为,['.1.00']
.0.14,四个,['.1.00']
.0.15,已知,"['.1.00', '.2.04', '.1.03']"
.0.16,感染,"['.1.00', '.2.07', '.2.08', '.2.09', '.2.09']"
.0.17,包括,"['.1.00', '.2.07']"
.0.18,229B,['.1.00']
.0.19,NL63,['.1.00']
.0.20,0C43,['.1.00']
.0.21,HKU1,['.1.00']
.0.22,中东,['.1.00']
.0.23,呼吸,"['.1.00', '.1.00', '.2.00', '.2.05', '.2.08', '.2.10']"
.0.24,综合征,"['.1.00', '.1.00', '.2.00']"
.0.25,相关,"['.1.00', '.1.00', '.1.04', '.2.08']"
.0.26,MERSr,['.1.00']
.0.27,CoV,"['.1.00', '.1.00', '.1.00', '.1.00']"
.0.28,急性,"['.1.00', '.2.00']"
.0.29,SARSr,['.1.00']
.0.30,武汉市,"['.1.00', '.3.00']"
.0.31,不明,['.1.00']
.0.32,原因,['.1.00']
.0.33,肺炎,"['.1.00', '.3.01', '.1.03', '.1.03', '.1.03', '.1.03', '.1.04']"
.0.34,患者,"['.1.00', '.2.00', '.2.00', '.2.00', '.2.00', '.2.00', '.2.01', '.2.01', '.3.00', '.2.07', '.2.08', '.1.07', '.2.10', '.2.11', '.2.11']"
